href,firstName,lastName,elo
6506c1d34da9c013,Georges,St-Pierre,1548.8561309699705
07f72a2a7591b409,Jon,Jones,1546.643841981019
275aca31f61ba28c,Islam,Makhachev,1503.2435230450988
f1fac969a1d70b08,Leon,Edwards,1490.3880441117267
032cc3922d871c7f,Khabib,Nurmagomedov,1482.7636922566865
07225ba28ae309b6,Charles,Oliveira,1474.5263603428962
e1248941344b3288,Alexander,Volkanovski,1455.8370329599275
150ff4cc642270b9,Max,Holloway,1455.62547671876
8d03ce87ca14e778,Francis,Ngannou,1448.5275280407193
80fa8218c99f9c58,Amanda,Nunes,1443.1556759955954
b1b0729d27936f2f,Belal,Muhammad,1441.8054215246623
cb696ebfb6598724,Aljamain,Sterling,1439.7417808813377
d28dee5c705991df,Stipe,Miocic,1438.9294779784314
f1b2aa7853d1ed6e,Kamaru,Usman,1435.018084207099
d967f0128c323de6,Daniel,Cormier,1431.9510234440254
8a304bfd6bf04a57,Demetrious,Johnson,1430.7431493332692
08af939f41b5a57b,Beneil,Dariush,1418.566489900936
dc9572dd6ec74859,Colby,Covington,1416.6068423777378
1338e2c7480bdf9e,Israel,Adesanya,1411.6304952316057
029eaff01e6bb8f0,Dustin,Poirier,1410.0924026183663
e1147d3d2dabe1ce,Robert,Whittaker,1405.8088442916417
d802174b0c0c1f4e,Magomed,Ankalaev,1399.7867032402016
c0ab242c40decc55,Ryan,Bader,1398.775970303581
0d8011111be000b2,Sean,Strickland,1396.445241127342
056c493bbd76a918,Henry,Cejudo,1393.7218270475225
2f181c0467965b98,Brendan,Allen,1389.2506817935675
23024fdfc966410a,Gilbert,Burns,1389.2250733719982
65f09bacd3957381,Cory,Sandhagen,1388.9133715822265
767755fd74662dbf,Khamzat,Chimaev,1386.0297760028964
787bb1f087ccff8a,Ciryl,Gane,1383.6812022688027
6d4b63c767106d3a,Vicente,Luque,1382.7438514838673
132deb59abae64b1,Valentina,Shevchenko,1382.106574891113
c849740a3ff51931,TJ,Dillashaw,1379.1463690446412
040a74bb0a465c54,Arnold,Allen,1378.9975091677693
cbf5e6f231b55443,Yair,Rodriguez,1375.6432206375061
c03520b5c88ed6b4,Merab,Dvalishvili,1375.3121704642763
9e8f6c728eb01124,Justin,Gaethje,1374.9670473127699
2676b28836a5a836,Benson,Henderson,1374.4227156376505
0ff11cc094e887bc,Cain,Velasquez,1373.0944596761683
7c7332319c14094c,Marlon,Vera,1372.262613228346
6f018c039b4d5d80,Jon,Fitch,1372.2624386852044
232c582f29f8f65e,Gegard,Mousasi,1369.5819442400866
fa6796c55d6c5440,Curtis,Blaydes,1369.004320336556
0d7b51c9d2649a6e,Dricus,Du Plessis,1367.2042487398724
365fee2da473b177,Anthony,Johnson,1366.641090090948
7ff97850e8c32bda,Glover,Teixeira,1365.3003217200521
279566840aa55bf2,Alexander,Volkov,1365.171552993765
2b93ebd9f5417ad2,Michael,Bisping,1364.5800913509408
76e2870ffafbe38f,Movsar,Evloev,1360.1327460705074
b50a426a33da0012,Sean,O'Malley,1358.3132190153228
f2477cf43c4975cc,Jonathan,Martinez,1358.2281478671644
b08012bbe542592a,Tatiana,Suarez,1357.9487566290286
e5549c82bfb5582d,Alex,Pereira,1357.2433415047246
1ebe20ebbfa15e29,Zhang,Weili,1356.970506746218
13a0275fa13c4d26,Jared,Cannonier,1356.6387044261426
84b3e7d38f2d2ec5,Neil,Magny,1355.9007836979315
399afbabc02376b5,Tom,Aspinall,1355.2228591693367
99df7d0a2a08a8a8,Jan,Blachowicz,1353.422598863425
a0f0004aadf10b71,Alexandre,Pantoja,1352.8079161323037
271fe91f4ba9d2c5,Don,Frye,1352.725395995275
fc169c387b4b465d,Raquel,Pennington,1352.2146206404618
aa72b0f831d0bfe5,Deiveson,Figueiredo,1351.8921808734144
f4c49976c75c5ab2,Conor,McGregor,1349.8011961697707
54f64b5e283b0ce7,Ilia,Topuria,1349.719564728994
6b453bc35a823c3f,Jack,Della Maddalena,1349.3078771349976
9560ff14eb3129f7,Giga,Chikadze,1348.4261631028162
34ff304266360297,Manon,Fiorot,1347.301996822944
669970f7feba8ecd,Erin,Blanchfield,1347.2281157234695
efb96bf3e9ada36f,Song,Yadong,1347.00541373671
a8283a4f415e1eb9,Francisco,Trinaldo,1346.9196942905744
5444c5a201d3ee5a,Jamahal,Hill,1345.759107115672
99bd51917728c25d,Grant,Dawson,1345.0779045503039
01afe0916a40c7c5,Shavkat,Rakhmonov,1345.018809974809
9b7694d064a8a0ad,Rustam,Khabilov,1344.8643465583689
d0f3959b4a9747e6,Jose,Aldo,1344.596497950672
442c9011034ae1fd,Ian,Garry,1344.1504096422943
427b5953ac8e3a27,Demian,Maia,1343.9478578640965
c268b2cfebccf652,John,Lineker,1342.8832531169128
41e83a89929d1327,Jailton,Almeida,1342.7655363027795
6a2f7c151031653d,Rafael,Dos Anjos,1341.3453378015924
f7a7f7118d4b01b6,Lyoto,Machida,1339.8608871689025
792be9a24df82ed6,Brandon,Moreno,1336.2375403195929
e8b731feff72294b,Alexa,Grasso,1334.9666449612193
b1a3e0aca758b322,Derek,Brunson,1334.894770461153
84ff027394f7e470,Gregor,Gillespie,1333.7150256647608
a26198ba5093147e,TJ,Grant,1333.1845483348964
87aa9fb63d6b51a1,Zabit,Magomedsharipov,1332.8101546868413
4a28cb716c19157a,Stephen,Thompson,1332.5775882515663
9bcf8603ceb25680,Dong Hyun,Kim,1332.5572621431152
492b202d2064e7a9,Fabricio,Werdum,1332.2753291312515
c6aee362c7a7d482,Randy,Brown,1331.9704159546698
0aa92558424ced9e,Randy,Couture,1331.2911176933458
902ab9197b83d0db,Phil,Davis,1330.8592653708092
621a6c59f88a44fe,Matt,Hughes,1330.6210119507107
d9c6f19f958643e9,Bryce,Mitchell,1330.2014616812717
45f0cc9d18f35137,Chris,Gutierrez,1329.7053815145287
8adcbd525fab8d9b,Elizeu,Zaleski dos Santos,1329.134898314959
595db60957de51d3,Michel,Pereira,1328.5041859250146
429e7d3725852ce9,Royce,Gracie,1328.1738852654917
6a740daf1b279661,Maycee,Barber,1327.8058672373706
eae48ff31db420c2,Arman,Tsarukyan,1327.2421309456222
c41d426cc7326d1b,Yan,Xiaonan,1325.6031398740886
9d19d9e4aa2662e8,Nicolas,Dalby,1325.4607756733858
d910665038efc639,Carla,Esparza,1324.595249413562
193b9d1858bc4df3,Dan,Hooker,1323.8544889033988
98aa60cf58071fd6,Kyoji,Horiguchi,1323.8284517641578
cb139171ed1b69fe,Kenny,Florian,1323.2579592176728
0ee783aa00e468f0,Vitor,Belfort,1323.2199990665224
72db2a14ffa73ece,Mateusz,Gamrot,1322.9803760625966
887961364be5ceb3,Bobby,Green,1322.9758194776475
80eacd4da0617c57,Joseph,Benavidez,1321.9167899612605
f77c68bb4be8516d,Yoel,Romero,1321.5452284480061
1d239d571e342453,Germaine,de Randamie,1320.8806391630844
e872e9a9a902c045,Katlyn,Chookagian,1320.8666677125007
5987b2458f4b5290,Ricky,Simon,1320.0978202329252
f14cf73e51b29254,Sergei,Pavlovich,1319.842186824612
fba03cd6cc28dc41,Josh,Emmett,1319.4004945297856
cc1a8b4b38b92c6d,Montel,Jackson,1318.7522503769442
396fe87b84ac2e1c,Lerone,Murphy,1318.690773917977
fcffee71cff5530e,Forrest,Griffin,1318.5053937932314
4bd6b4800070b069,Chas,Skelly,1317.4392207449825
8355922d564b152c,Nate,Diaz,1316.5363881453766
4126a78111c0855a,Caio,Borralho,1315.586911388072
3a46b268013afede,Kevin,Holland,1314.7490760198477
effd9de9937996f8,Tyron,Woodley,1314.5962221889492
64a50dad704d1d49,Edson,Barboza,1314.5574376969864
10f3ba6cd2f44a97,Dominick,Cruz,1314.1911044136707
cbd5d3cdd862e90e,Rory,MacDonald,1313.8425503321323
fd55393021a8c255,Gunnar,Nelson,1313.8295410744504
7acbb0972e75281a,Marvin,Vettori,1313.4263714712592
94527830000ab715,Rani,Yahya,1313.2988790762422
8f6a18831a120817,James,Krause,1313.229233930932
fcaae0385b514f11,Frank,Shamrock,1313.1798925420449
4ba8d454f762005d,Zak,Cummings,1312.9663713643383
47b63240018d5d86,Rose,Namajunas,1312.7161730046168
d4c9dcd330403612,Anthony,Smith,1312.6305085159715
6d35bf94f7d30241,Amir,Albazi,1312.53015817265
cbb682f5fcc44bfc,Anthony,Pettis,1312.4274381150697
b4ad3a06ee4d660c,Alistair,Overeem,1311.4745074748123
bc711b6dd95c1af6,Mario,Bautista,1311.1785105350239
68d4a891e5cf2029,Tracy,Cortez,1311.0980589556511
def8166ff24bd237,Brian,Ortega,1309.9775984794078
75353550928a7921,Muhammad,Mokaev,1309.8492014244218
0fd5f4b838e890cc,Said,Nurmagomedov,1309.8309918158889
7cbf7c78d3b34218,Drakkar,Klose,1308.7184114978695
6a1901c62ab3870f,Jessica,Andrade,1308.6299425014981
45f7cb591c3ab00b,Sean,Brady,1307.937040166361
634bb0de2eb043b4,Cristiane,Justino,1307.60012941401
1091d4d957141094,Nikita,Krylov,1307.1573017713506
b997be68943010fc,Geoff,Neal,1307.0316616567782
98d961097baaf308,Shane,Burgos,1306.0143735261809
0e041d43a47d2e4b,Matt,Lindland,1305.9050626187638
ad3f53c454cbbead,Josh,Barnett,1305.7231166331358
5e4eec08896c9423,Corey,Anderson,1305.2210247641526
1f454354805b6f75,Anderson,Silva,1304.546818527188
5b5307450405abf0,Rick,Story,1304.410065195756
2a542ee8a8b83559,Tim,Sylvia,1304.214201578218
b8a85389d115e35a,Jack,Shore,1304.1387110395854
2e5c2aa8e4ab9d82,Paulo,Costa,1303.3982287937347
2b6fc1c02736833d,Umar,Nurmagomedov,1303.158895509886
b9706f80d005036c,Ketlen,Vieira,1303.1169907170815
f2925e6db404bf1d,Robbie,Lawler,1302.8165543770974
a390eb8a9b2df298,Chuck,Liddell,1302.6430636274401
c9cf753cfdf77fc2,Marcin,Tybura,1302.1951463799828
3974fa35c917af1d,Ricardo,Lamas,1302.1387484547527
c2299ec916bc7c56,Benoit,Saint Denis,1302.092796877539
285ae0b4a68221f4,JunYong,Park,1302.0555215013392
c32aeb1a59e6272d,Michael,Morales,1301.8821622595683
333b9e5c723ac873,Aleksandar,Rakic,1301.841477183901
0c6d9ea8306c029e,Brad,Tavares,1301.7365045006331
8f5c8850b2484173,Mairbek,Taisumov,1301.5454010449614
cdb96af67d096b1e,Alex,Morono,1301.5290140728616
d897897060f10a3a,Rich,Franklin,1301.5263587516038
cedfdf8d423d500c,Pat,Miletich,1301.4903551571153
d3df1add9d9a7efb,Derrick,Lewis,1301.305930661023
05339613bf8e9808,Rob,Font,1301.1998371661512
34f88592c0ab7a54,Elias,Theodorou,1300.831176428147
6bd02119599741a4,Pedro,Munhoz,1300.8236107498024
af62f99eb7606308,Erik,Perez,1300.4309972764584
6d1bffff14897645,Santiago,Ponzinibbio,1300.2404424183817
7ea1f74cef32f906,Rashid,Magomedov,1300.1080155668162
519e4fe37ce9ff75,Drew,Dober,1300.039632077163
029880cdbf5ca089,Sean,Sherk,1299.776852373759
28f3c2258a1d8874,John,Hathaway,1299.204863042799
1a31ef98efce7a79,Matheus,Nicolau,1298.7287413454278
5331b25a60417ffb,Anthony Rocco,Martin,1298.3775164900228
b5b684eac99ae0a3,Chad,Mendes,1297.977703787832
d3f5d33d61cd00c9,Norma,Dumont,1297.064600797955
c670aa48827d6be6,Dan,Severn,1296.9449522302173
3253b16d38ae087d,Julianna,Pena,1296.7252712199652
e51fcd9cd84c0b93,Michel,Prazeres,1296.252642154902
2924886ee9c4c527,Thiago,Silva,1296.0451255769253
e64b96c07d7ce999,Li,Jingliang,1295.5152497467097
7826923b47f8d72a,Paddy,Pimblett,1294.7634425022202
94426bb170c88115,Sodiq,Yusuff,1294.5101619557256
d247691a6c0e9034,Cub,Swanson,1294.4012408171482
8866c6f509c19089,Ryan,Hall,1294.286402025204
3df5493bb279226f,Amanda,Lemos,1294.1147390702247
99bcdf5eac39898f,Jordan,Johnson,1293.754354899602
1dc56b59cb28425d,Oleg,Taktarov,1293.6494462248404
2747c60e42d9d75f,David,Teymur,1293.5102505891907
9014c02eff8b3d62,Carlos,Ulberg,1293.3616292799031
c58f51dedb310998,Michael,Chiesa,1292.9180716733495
d661ce4da776fc20,Petr,Yan,1292.7547531279795
5f87a5c00b3d17ed,Dennis,Siver,1292.3625174802462
bbab3baf66128ae2,Javid,Basharat,1292.3493329610476
f53d4f21d1b5f2dc,Diego,Ferreira,1291.858405884031
634e2fb70bde3fd5,Holly,Holm,1291.8391037649574
33a331684283900f,Eddie,Alvarez,1291.742615305507
7aa3d6964eff4877,Alex,Caceres,1291.5914573265247
b6452706b373eea1,Renato,Moicano,1291.3060683033643
22a92d7f62195791,Tony,Ferguson,1290.9469654488182
0a1942069c9ad6b6,Jack,Hermansson,1290.7073649502947
8e5d953bdb9ae5e7,Loopy,Godinez,1290.603544172368
f2688492b9a525a3,Frankie,Edgar,1289.7543024155418
acff437707625fc7,Yushin,Okami,1289.6340061424594
c77a953488e5607d,Vinc,Pichel,1289.5939945307805
4461d7e47375a895,Tatsuro,Taira,1289.099311711533
8a1f3b5c526cd6e6,Daniel,Rodriguez,1288.9556552579522
cd2c4d30c6e13b47,Marina,Rodriguez,1288.7735050737767
60425d07ef4b91a7,Kyler,Phillips,1288.411262056787
d1941565abf50b16,Jim,Miller,1288.1685413347113
af65aa688d13eedf,Joe,Solecki,1288.1685413347113
a7b48e18ca27795d,Mark,Kerr,1288.1685413347113
327d5f279895110d,Roman,Dolidze,1288.1443870678204
16690d100f995f8f,Omari,Akhmedov,1288.0305650543798
beecb672a279223e,Amanda,Ribas,1287.9589801997988
262d32ebda89efc4,Natalia,Silva,1287.6943752397924
78114b7199cef90c,Urijah,Faber,1287.5737204126403
4e06913c91da5200,Krzysztof,Jotko,1287.4859364899876
c451d67c09c55418,Chan Sung,Jung,1287.3831478746185
349aaa3da11eb587,Karo,Parisyan,1286.6283796358593
8b69839f3555a67b,Martin,Kampmann,1286.540526151782
63def5a5662a6917,Junior,Dos Santos,1285.9345185330126
749f572d1d3161fb,Khalil,Rountree Jr.,1284.9250619229078
5f61780fe5e9b6d0,Andre,Petroski,1284.5037854595369
a495f599e787614f,Alonzo,Menifield,1284.419822634556
6e15f63b6c2e2c15,Brandon,Royval,1284.34613727163
3a8176e15b9887c1,Chris,Weidman,1284.3177907124023
c814b4c899793af6,Rafael,Fiziev,1284.1361234674175
92a9aa9c93192871,Darren,Elkins,1283.7762700246778
4c7781da8c6cae93,Ryan,LaFlare,1283.5171322335475
8eb046f83e82bf26,Martin,Buday,1283.2916497327515
447f9858ae78f921,Muslim,Salikhov,1282.6851317880003
98b80a717b9bda17,Matt,Hamill,1282.0377856620225
8f765fd5775a8873,Rinat,Fakhretdinov,1281.9499330432848
47b9e0e7703a4868,Jorge,Masvidal,1281.7400462430924
e2f6b2769aaedd6c,Serghei,Spivac,1281.374556481855
ffc088e64fab57e9,Quinton,Jackson,1281.1674104518906
881bf86d4cba8578,Nassourdine,Imavov,1280.777658627782
8bdac25ce0bb874d,Ronda,Rousey,1280.3298529214762
48d1f690b763934c,Chael,Sonnen,1280.3190807065785
f626118b6da0e020,Bryan,Battle,1280.3043998083574
8ddf9c51c5fdea75,Rousimar,Palhares,1280.2276133165155
de75d1c45a39e221,Sergio,Pettis,1278.8649057517885
791c8437b341fba5,Joanderson,Brito,1278.6631237773051
ed9d8ee3a4239b1c,Sage,Northcutt,1278.1469213248374
c0badf3243907e59,Alexandr,Romanov,1277.8242064844133
52cae54377b433b7,Nate,Quarry,1277.8060595058212
236a37d96d476164,Mike,Pierce,1277.759327325185
b44f39a5c6596953,Pedro,Rizzo,1277.6141677549351
e5010b1b94ca5755,Paul,Felder,1277.6105400881013
91ea901c458e95dd,Jared,Rosholt,1277.356164104286
8c0580d4fff106c1,Kelvin,Gastelum,1277.2233017995839
093e1f5bb73850be,Anthony,Hernandez,1277.0301485645898
e90a2f22417af68e,Azamat,Murzakanov,1275.9899456142819
daf1b84aebd6602b,Roger,Huerta,1275.7624697146848
329e403448756217,Nathaniel,Wood,1275.4518857009336
2558ae2e5671e318,Khaos,Williams,1275.1453762087335
369e1ce458ef50a6,Ruslan,Magomedov,1274.9070903842503
a845f0735bc67405,Jake,Matthews,1274.1468083433763
513c6f1715e547a8,Brock,Lesnar,1274.1465262651332
009341ed974bad72,Jiri,Prochazka,1273.8401065490602
849c5d9979df5357,Mateusz,Rebecki,1273.7123982012174
cfb65863d5099327,Thales,Leites,1273.6601823566732
751de04455cfaac0,Calvin,Kattar,1273.5432569246523
c21f26bbde777573,Johnny,Walker,1273.2879734734718
48a9a128784d53d1,Elves,Brener,1273.2859898172737
1eacf73d6a0055dc,Cheick,Kongo,1272.96469773285
a53d30163304aa6e,Carlston,Harris,1272.859045099727
fe435e440b5de0ff,Jake,Shields,1272.7522787223286
87c0b1c696ddfb43,Jonathan,Pearce,1272.4261102749133
d8c7c61b176e3994,Cody,Garbrandt,1271.6776734299478
3d6749c4267da18f,Joanna,Jedrzejczyk,1271.65244818402
b9437600497350f3,Joaquin,Buckley,1271.565526147151
46c8ec317aff28ac,Patrick,Smith,1271.426844129581
9d62c2d8ee151f08,Karine,Silva,1271.0003723830896
dd6103dd7127db1d,Mike,Malott,1270.7553937781927
9c907996820d2d69,Jimmie,Rivera,1270.7458972591737
e1d40e8782d80bc2,William,Gomis,1270.4973588208006
886264a0c9f4ea5e,Andre,Muniz,1270.240124484848
44260175069b6276,Jens,Pulver,1270.0686655319753
82a5152216251682,Dan,Ige,1269.8875270138678
58bbef3770bb2dfc,Joel,Alvarez,1269.8182891291349
dea070ed4a2a8281,Thiago,Santos,1269.694629701102
59279a7c978f7da0,Al,Iaquinta,1269.5938424276233
ec52462a1b41f714,Brett,Johns,1269.5121112885067
c1085e1701b13eca,Joe,Pyfer,1269.3583617162926
7f6ed67d3ed3c036,Cody,Durden,1269.2802066489062
d66a46de8d705353,Jeremiah,Wells,1269.176726598706
0941df56f6ac954b,Johny,Hendricks,1269.0588279912045
ab2b4ff41d6ebe0f,Alex,Perez,1268.5819075601748
351c4ec637380ad5,Karol,Rosa,1268.2003507606762
68d35296f566792b,Josiane,Nunes,1268.0138177677106
578ef12674df1e6a,Irene,Aldana,1267.888315603121
cf9d24e4bd0cf2ce,Mark,Bocek,1267.7092398465384
65578a75fa7900e3,Uriah,Hall,1267.60624517793
71171fc96445bf65,Vitor,Petrino,1267.2251890476234
4130a743d9d22163,Alan,Belcher,1266.9665345698868
08e908ed6d18d6a0,Myles,Jury,1266.904959209509
8b1ed83b02303075,Taylor,Lapilus,1266.7799754879788
b7b84ccd221be298,Nasrat,Haqparast,1266.7799754879788
d747eb273a40a920,Claudio,Puelles,1266.7751831483704
008ea710276c9606,Jeff,Molina,1266.1199024352265
7447e9f28508106a,Mackenzie,Dern,1265.430369389856
729d4bd5a6cd0a97,Lauren,Murphy,1265.2008702894013
da7f113b5ea39c43,Mohammed,Usman,1264.9988099673765
1d00756835ca67c9,Donald,Cerrone,1264.7264778107583
aa171d55d4b5208f,Billy,Quarantillo,1264.2369462804236
e4277e87a789d687,Dustin,Jacoby,1264.2029766319038
473ce3aa581251a2,Dan,Hardy,1263.4705465620038
3738e68d2261e60f,Andrei,Arlovski,1263.3871440612706
a7897d200692ab64,Kyung Ho,Kang,1263.2972412274396
46e0d677f91bacc0,Miles,Johns,1263.2321524649633
6fd953151d981979,JJ,Aldrich,1262.9936435947752
0232cabbc30a2372,Adrian,Yanez,1262.823206569687
135d124172a0bea3,Damir,Ismagulov,1262.3405511302085
ee9ebceabfd16fa7,Kevin,Lee,1262.2229455457457
179f1948dc234f1f,Mark,Munoz,1262.1373129924086
d1c65d2cf2925ddd,Gregory,Rodrigues,1261.6137586425648
